"","vote","age","occupation_oesch","occupation_oesch_5","own_rent","sub_class","election","prov","quebec","degree","income_tertile","male","weight","ideology","cps25_employment","education","vote2","sub_class2","obj_class2","concordance","occupation_oesch_5_2"
"1653","Conservative",44,"Higher-grade managers","Higher-grade service","Own","Working Class","2025",6,0,1,2,1,0.760478734970093,0.6,1,5,"Conservative","Working Class","Upper Class","Deflator","Higher-grade service"
"1654",NA,46,NA,NA,"Rent","Working Class","2025",10,0,0,1,1,1.02599215507507,NA,1,3,NA,"Working Class",NA,NA,NA
"1655","Conservative",33,"Higher-grade managers","Higher-grade service","Rent","Middle Class","2025",10,0,1,2,0,0.745765686035156,0.7,1,5,"Conservative","Middle Class","Upper Class","Deflator","Higher-grade service"
"1656","Liberal",68,NA,NA,"Rent","Middle Class","2025",5,1,0,1,0,0.77460390329361,0.5,4,3,"Liberal","Middle Class",NA,NA,NA
"1657","Liberal",33,"Self-employed","Self-employed","Own","Working Class","2025",6,0,1,2,1,0.831709861755371,0.4,3,5,"Liberal","Working Class","Upper Class","Deflator","Self-employed"
"1658","Conservative",50,"Skilled clerks","Skilled workers","Own","Working Class","2025",6,0,0,2,1,1.81654977798462,0.5,1,1,"Conservative","Working Class","Middle Class","Deflator",NA
"1659","Liberal",51,"Low-skilled service","Unskilled workers","Own","Working Class","2025",6,0,0,2,1,0.990138351917267,0.8,1,3,"Liberal","Working Class","Working Class","Concordant",NA
"1660",NA,38,NA,NA,"Own","Working Class","2025",9,0,0,NA,1,2.29236912727356,0.6,1,2,NA,"Working Class",NA,NA,NA
"1661","Conservative",29,"Low-skilled manual","Unskilled workers","Rent","Working Class","2025",6,0,0,1,0,2.09702253341675,0.7,1,2,"Conservative","Working Class","Working Class","Concordant",NA
"1662","Conservative",68,"Self-employed","Self-employed","Own","Upper-Middle Class","2025",6,0,1,3,1,0.601073384284973,0.5,3,5,"Conservative","Upper Class","Upper Class","Concordant","Self-employed"
"1663",NA,61,NA,NA,"Own",NA,"2025",8,0,0,2,1,0.687037408351898,NA,4,3,NA,NA,NA,NA,NA
"1664","Liberal",30,NA,NA,"Rent","Middle Class","2025",5,1,1,1,1,0.779909372329712,0.5,6,5,"Liberal","Middle Class",NA,NA,NA
"1665","Conservative",64,NA,NA,"Own","Working Class","2025",9,0,0,3,0,1.98365867137909,0.5,1,2,"Conservative","Working Class",NA,NA,NA
"1666","Liberal",70,NA,NA,"Own","Middle Class","2025",9,0,0,2,1,0.987582862377167,0.4,4,3,"Liberal","Middle Class",NA,NA,NA
"1667","Liberal",34,NA,NA,"Rent","Working Class","2025",6,0,1,1,1,0.831709861755371,0.3,1,5,"Liberal","Working Class",NA,NA,NA
"1668","Conservative",73,"Self-employed","Self-employed","Own","Middle Class","2025",10,0,1,1,1,0.563937962055206,0.7,3,5,"Conservative","Middle Class","Upper Class","Deflator","Self-employed"
"1669","Liberal",77,"Lower-grade managers","Lower-grade service","Own","Middle Class","2025",6,0,0,2,0,0.826051950454712,0.5,4,3,"Liberal","Middle Class","Middle Class","Concordant","Lower-grade service"
"1670","Conservative",77,"Skilled clerks","Skilled workers","Own","Middle Class","2025",6,0,0,NA,1,1.58574032783508,0.5,4,2,"Conservative","Middle Class","Middle Class","Concordant",NA
"1671","Liberal",70,NA,NA,"Own","Middle Class","2025",6,0,1,2,0,0.574452638626099,0.5,4,5,"Liberal","Middle Class",NA,NA,NA
"1672","Liberal",27,"Higher-grade managers","Higher-grade service","Rent","Middle Class","2025",9,0,1,2,0,0.908220827579498,0.2,1,5,"Liberal","Middle Class","Upper Class","Deflator","Higher-grade service"
"1673","Bloc",80,NA,NA,"Rent","Middle Class","2025",5,1,1,1,0,1.19673717021942,0.5,4,5,"Bloc","Middle Class",NA,NA,NA
"1674","Liberal",46,NA,NA,"Own","Working Class","2025",4,0,0,2,1,1.87191569805145,NA,1,1,"Liberal","Working Class",NA,NA,NA
"1675",NA,35,"Self-employed","Self-employed",NA,"Lower Class","2025",8,0,0,1,1,1.39211821556091,1,3,2,NA,"Working Class","Working Class","Concordant","Self-employed"
"1676","Conservative",52,"Self-employed","Self-employed","Own","Upper-Middle Class","2025",NA,NA,1,3,1,NA,0.6,3,5,"Conservative","Upper Class","Upper Class","Concordant","Self-employed"
"1677","Liberal",18,"Unskilled clerks","Unskilled workers","Own","Upper-Middle Class","2025",6,0,0,3,1,2.19420099258423,0.3,2,2,"Liberal","Upper Class","Working Class","Inflator",NA
"1678",NA,72,"Skilled service","Skilled workers","Own","Working Class","2025",1,0,0,2,1,0.661222398281097,0.5,2,4,NA,"Working Class","Middle Class","Deflator",NA
"1679","Liberal",78,NA,NA,"Own","Upper-Middle Class","2025",5,1,0,2,1,1.48697733879089,0.8,4,2,"Liberal","Upper Class",NA,NA,NA
"1680","Liberal",71,NA,NA,"Own","Middle Class","2025",5,1,0,1,0,1.42112100124359,NA,4,2,"Liberal","Middle Class",NA,NA,NA
"1681","Liberal",52,NA,NA,"Own","Working Class","2025",6,0,0,3,0,1.73609721660614,0.7,1,2,"Liberal","Working Class",NA,NA,NA
"1682","Conservative",71,"Low-skilled manual","Unskilled workers","Own","Working Class","2025",6,0,0,1,1,1.58574032783508,NA,4,2,"Conservative","Working Class","Working Class","Concordant",NA
"1683","Conservative",63,NA,NA,"Own","Lower Class","2025",6,0,0,1,1,0.990138351917267,0.5,8,3,"Conservative","Working Class",NA,NA,NA
"1684","Liberal",21,NA,NA,"Rent","Middle Class","2025",8,0,0,1,1,1.52251255512238,0.6,6,1,"Liberal","Middle Class",NA,NA,NA
"1685","Conservative",74,NA,NA,"Own","Middle Class","2025",9,0,0,2,0,0.943844139575958,0.7,4,3,"Conservative","Middle Class",NA,NA,NA
"1686",NA,26,"Higher-grade managers","Higher-grade service","Own","Middle Class","2025",6,0,1,2,0,0.794874489307404,0.4,2,5,NA,"Middle Class","Upper Class","Deflator","Higher-grade service"
"1687",NA,52,"Skilled service","Skilled workers","Rent","Working Class","2025",6,0,0,1,0,0.94628643989563,NA,2,3,NA,"Working Class","Middle Class","Deflator",NA
"1688","Conservative",68,NA,NA,"Own","Middle Class","2025",7,0,0,1,0,0.767376899719238,0.5,4,3,"Conservative","Middle Class",NA,NA,NA
"1689","Liberal",58,NA,NA,"Rent","Working Class","2025",7,0,0,2,0,0.879071116447449,0.2,1,3,"Liberal","Working Class",NA,NA,NA
"1690","Liberal",36,"Technical experts","Higher-grade service","Own","Middle Class","2025",6,0,1,2,0,0.726798176765442,0.4,1,5,"Liberal","Middle Class","Upper Class","Deflator","Higher-grade service"
"1691","Liberal",43,"Socio-cultural professionals","Higher-grade service","Rent","Middle Class","2025",6,0,1,1,1,0.760478734970093,0.6,1,5,"Liberal","Middle Class","Upper Class","Deflator","Higher-grade service"
"1692","Conservative",60,"Higher-grade managers","Higher-grade service","Own","Middle Class","2025",6,0,0,2,1,0.990138351917267,0.5,1,3,"Conservative","Middle Class","Upper Class","Deflator","Higher-grade service"
"1693","Liberal",51,NA,NA,"Own","Middle Class","2025",8,0,0,2,1,0.687037408351898,0.3,1,3,"Liberal","Middle Class",NA,NA,NA
"1694","Conservative",54,NA,NA,"Own","Middle Class","2025",7,0,0,NA,1,0.919808149337769,1,1,3,"Conservative","Middle Class",NA,NA,NA
"1695","Conservative",31,"Higher-grade managers","Higher-grade service","Own","Middle Class","2025",6,0,1,3,1,0.831709861755371,0.6,1,5,"Conservative","Middle Class","Upper Class","Deflator","Higher-grade service"
"1696","Liberal",47,"Technicians","Lower-grade service","Own","Middle Class","2025",6,0,1,2,0,0.726798176765442,0.2,1,5,"Liberal","Middle Class","Middle Class","Concordant","Lower-grade service"
"1697","Liberal",76,"Skilled clerks","Skilled workers","Rent","Working Class","2025",5,1,0,NA,0,1.42112100124359,0,4,2,"Liberal","Working Class","Middle Class","Deflator",NA
"1698",NA,25,NA,NA,"Rent","Upper-Middle Class","2025",8,0,0,1,0,1.45508253574371,0.4,1,2,NA,"Upper Class",NA,NA,NA
"1699","NDP",30,NA,NA,"Rent","Middle Class","2025",6,0,1,2,0,0.794874489307404,0.9,2,5,"NDP","Middle Class",NA,NA,NA
"1700","Liberal",53,NA,NA,"Own","Middle Class","2025",5,1,0,2,1,1.70341169834137,0.5,1,2,"Liberal","Middle Class",NA,NA,NA
"1701","Conservative",24,NA,NA,"Own","Middle Class","2025",6,0,0,1,1,2.19420099258423,1,1,1,"Conservative","Middle Class",NA,NA,NA
"1702","NDP",45,"Skilled service","Skilled workers","Rent","Middle Class","2025",10,0,0,1,0,0.980552315711975,NA,2,3,"NDP","Middle Class","Middle Class","Concordant",NA
"1703","Liberal",52,"Higher-grade managers","Higher-grade service","Own","Middle Class","2025",9,0,1,2,1,0.786748051643372,0.2,1,5,"Liberal","Middle Class","Upper Class","Deflator","Higher-grade service"
"1704","Conservative",67,NA,NA,"Rent","Working Class","2025",9,0,0,1,0,0.656367599964142,0.9,4,4,"Conservative","Working Class",NA,NA,NA
"1705","Liberal",61,NA,NA,"Own","Middle Class","2025",6,0,0,2,1,0.990138351917267,0.7,4,3,"Liberal","Middle Class",NA,NA,NA
"1706","Liberal",80,"Higher-grade managers","Higher-grade service","Own","Middle Class","2025",6,0,1,2,0,1.27622270584106,0.4,4,5,"Liberal","Middle Class","Upper Class","Deflator","Higher-grade service"
"1707",NA,28,"Lower-grade managers","Lower-grade service","Rent","Working Class","2025",6,0,1,1,0,0.794874489307404,NA,2,5,NA,"Working Class","Middle Class","Deflator","Lower-grade service"
"1708","Liberal",79,NA,NA,"Rent","Middle Class","2025",5,1,0,1,0,1.42112100124359,NA,4,2,"Liberal","Middle Class",NA,NA,NA
"1709","Liberal",62,NA,NA,"Rent","Middle Class","2025",6,0,0,1,1,1.81654977798462,1,4,2,"Liberal","Middle Class",NA,NA,NA
"1710","NDP",22,NA,NA,"Rent","Working Class","2025",5,1,0,2,0,1.96641600131989,0.4,1,1,"NDP","Working Class",NA,NA,NA
"1711","Liberal",39,NA,NA,"Own","Upper-Middle Class","2025",6,0,1,3,1,0.760478734970093,0.4,1,5,"Liberal","Upper Class",NA,NA,NA
"1712","Conservative",70,NA,NA,"Own","Middle Class","2025",5,1,1,2,1,0.563637375831604,0.5,11,5,"Conservative","Middle Class",NA,NA,NA
"1713","Conservative",55,NA,NA,"Rent","Lower Class","2025",6,0,0,2,0,0.94628643989563,0.7,1,3,"Conservative","Working Class",NA,NA,NA
"1714",NA,42,"Skilled clerks","Skilled workers","Own","Middle Class","2025",9,0,0,2,0,2.19084310531616,0.9,2,2,NA,"Middle Class","Middle Class","Concordant",NA
"1715","Bloc",32,NA,NA,"Own","Middle Class","2025",5,1,1,2,1,0.779909372329712,0.6,1,5,"Bloc","Middle Class",NA,NA,NA
"1716","Liberal",25,NA,NA,"Own","Working Class","2025",6,0,1,NA,0,0.794874489307404,0.4,1,5,"Liberal","Working Class",NA,NA,NA
"1717","Conservative",61,"Skilled clerks","Skilled workers","Own","Middle Class","2025",9,0,0,NA,1,0.786748051643372,0.9,1,4,"Conservative","Middle Class","Middle Class","Concordant",NA
"1718","Conservative",68,NA,NA,"Own","Middle Class","2025",5,1,0,1,1,1.48697733879089,0.4,4,1,"Conservative","Middle Class",NA,NA,NA
"1719","NDP",29,"Lower-grade managers","Lower-grade service","Own","Working Class","2025",7,0,1,2,1,0.772632956504822,0,1,5,"NDP","Working Class","Middle Class","Deflator","Lower-grade service"
"1720","Liberal",54,"Lower-grade managers","Lower-grade service","Own","Middle Class","2025",5,1,0,2,1,0.645676612854004,0.1,1,4,"Liberal","Middle Class","Middle Class","Concordant","Lower-grade service"
"1721","Conservative",52,NA,NA,"Rent","Lower Class","2025",10,0,0,1,1,0.92896580696106,1,8,3,"Conservative","Working Class",NA,NA,NA
"1722","Liberal",54,"Higher-grade managers","Higher-grade service","Own","Middle Class","2025",9,0,0,3,1,0.786748051643372,NA,1,4,"Liberal","Middle Class","Upper Class","Deflator","Higher-grade service"
"1723","Liberal",80,NA,NA,"Own","Middle Class","2025",10,0,0,2,1,1.80159318447113,0.5,4,3,"Liberal","Middle Class",NA,NA,NA
"1724","Liberal",42,"Socio-cultural professionals","Higher-grade service","Own","Middle Class","2025",10,0,1,3,0,0.681895196437836,0.3,1,5,"Liberal","Middle Class","Upper Class","Deflator","Higher-grade service"
"1725","Liberal",39,"Technical experts","Higher-grade service","Own","Middle Class","2025",6,0,1,3,1,0.760478734970093,0.2,1,5,"Liberal","Middle Class","Upper Class","Deflator","Higher-grade service"
"1726",NA,64,NA,NA,"Own","Working Class","2025",6,0,0,2,0,1.73609721660614,0.6,4,2,NA,"Working Class",NA,NA,NA
"1727","Liberal",35,"Self-employed","Self-employed","Rent","Middle Class","2025",5,1,1,3,0,0.68153178691864,0.2,3,5,"Liberal","Middle Class","Upper Class","Deflator","Self-employed"
"1728","Liberal",45,NA,NA,"Rent","Lower Class","2025",9,0,0,1,0,2.19084310531616,0.8,7,2,"Liberal","Working Class",NA,NA,NA
"1729","Conservative",34,"Skilled manual","Skilled workers","Own","Working Class","2025",5,1,1,2,1,0.779909372329712,0.7,1,5,"Conservative","Working Class","Working Class","Concordant",NA
"1730","Liberal",69,NA,NA,"Own","Middle Class","2025",4,0,0,1,0,0.770729541778564,0.1,4,3,"Liberal","Middle Class",NA,NA,NA
"1731","Conservative",64,NA,NA,"Rent","Lower Class","2025",7,0,0,1,0,0.879071116447449,NA,5,3,"Conservative","Working Class",NA,NA,NA
"1732","Conservative",34,NA,NA,"Own","Middle Class","2025",5,1,0,3,1,2.057541847229,0.6,1,1,"Conservative","Middle Class",NA,NA,NA
"1733",NA,34,NA,NA,"Own","Middle Class","2025",5,1,0,1,1,1.12149477005005,0.5,2,3,NA,"Middle Class",NA,NA,NA
"1734",NA,67,NA,NA,"Own","Working Class","2025",6,0,1,1,1,0.601073384284973,0.5,2,5,NA,"Working Class",NA,NA,NA
"1735","Liberal",56,NA,NA,"Rent","Lower Class","2025",10,0,0,1,0,0.887823164463043,0.1,2,3,"Liberal","Working Class",NA,NA,NA
"1736","Liberal",69,NA,NA,"Rent","Middle Class","2025",10,0,0,2,1,0.563937962055206,0.2,4,4,"Liberal","Middle Class",NA,NA,NA
"1737","Liberal",66,"Higher-grade managers","Higher-grade service","Own","Upper-Middle Class","2025",5,1,0,2,0,0.538674652576447,NA,2,4,"Liberal","Upper Class","Upper Class","Concordant","Higher-grade service"
"1738",NA,69,NA,NA,"Rent","Working Class","2025",6,0,0,1,0,0.826051950454712,0.1,1,3,NA,"Working Class",NA,NA,NA
"1739","Liberal",50,NA,NA,"Own","Upper-Middle Class","2025",5,1,1,3,0,0.617080450057983,0.4,1,5,"Liberal","Upper Class",NA,NA,NA
"1740","Liberal",67,"Higher-grade managers","Higher-grade service","Own","Middle Class","2025",5,1,1,3,0,0.538674652576447,0.6,4,5,"Liberal","Middle Class","Upper Class","Deflator","Higher-grade service"
"1741","NDP",47,"Socio-cultural professionals","Higher-grade service","Own",NA,"2025",9,0,1,2,0,0.830437064170837,NA,1,5,"NDP",NA,"Upper Class",NA,"Higher-grade service"
"1742","Conservative",56,"Skilled service","Skilled workers","Rent","Middle Class","2025",10,0,0,2,0,0.887823164463043,0.4,1,3,"Conservative","Middle Class","Middle Class","Concordant",NA
"1743","Green",57,"Higher-grade managers","Higher-grade service","Own","Middle Class","2025",10,0,1,3,1,0.646020889282227,0.1,2,5,NA,"Middle Class","Upper Class","Deflator","Higher-grade service"
"1744","Liberal",43,"Socio-cultural (semi-professionals)","Lower-grade service","Rent","Middle Class","2025",10,0,1,2,1,0.713494956493378,0.3,1,5,"Liberal","Middle Class","Middle Class","Concordant","Lower-grade service"
"1745","NDP",46,NA,NA,"Own","Upper-Middle Class","2025",5,1,0,3,1,0.713114678859711,0.2,1,4,"NDP","Upper Class",NA,NA,NA
"1746",NA,19,NA,NA,NA,"Working Class","2025",6,0,0,NA,0,1.14301443099976,NA,9,3,NA,"Working Class",NA,NA,NA
"1747","Liberal",32,NA,NA,NA,"Upper-Middle Class","2025",9,0,1,2,0,0.908220827579498,0.3,1,5,"Liberal","Upper Class",NA,NA,NA
"1748","Conservative",72,NA,NA,"Own","Middle Class","2025",6,0,0,2,0,1.51550996303558,NA,4,2,"Conservative","Middle Class",NA,NA,NA
"1749","Liberal",34,"Skilled clerks","Skilled workers","Own","Middle Class","2025",6,0,0,2,1,0.831709861755371,0.6,1,4,"Liberal","Middle Class","Middle Class","Concordant",NA
"1750","Bloc",32,NA,NA,"Own","Middle Class","2025",5,1,0,2,1,2.057541847229,1,1,2,"Bloc","Middle Class",NA,NA,NA
"1751","Liberal",38,"Higher-grade managers","Higher-grade service","Own","Middle Class","2025",9,0,1,3,1,0.868920385837555,0.8,1,5,"Liberal","Middle Class","Upper Class","Deflator","Higher-grade service"
"1752","Liberal",77,NA,NA,"Own","Middle Class","2025",6,0,1,2,1,0.601073384284973,0.4,4,5,"Liberal","Middle Class",NA,NA,NA
"1753","Liberal",34,"Higher-grade managers","Higher-grade service","Rent","Upper-Middle Class","2025",5,1,1,3,1,0.779909372329712,0.7,1,5,"Liberal","Upper Class","Upper Class","Concordant","Higher-grade service"
"1754","Liberal",64,"Socio-cultural professionals","Higher-grade service","Own","Upper-Middle Class","2025",7,0,1,2,0,0.611323177814484,0.7,4,5,"Liberal","Upper Class","Upper Class","Concordant","Higher-grade service"
"1755","Liberal",23,"Socio-cultural professionals","Higher-grade service","Rent","Middle Class","2025",10,0,1,2,0,0.745765686035156,0.1,1,5,"Liberal","Middle Class","Upper Class","Deflator","Higher-grade service"
"1756","Liberal",85,NA,NA,"Own","Middle Class","2025",10,0,1,2,1,1.25286304950714,0.5,4,5,"Liberal","Middle Class",NA,NA,NA
"1757","Conservative",55,"Self-employed","Self-employed","Own","Middle Class","2025",6,0,0,2,0,0.94628643989563,0.4,3,3,"Conservative","Middle Class","Middle Class","Concordant","Self-employed"
"1758","Conservative",48,"Technicians","Lower-grade service","Rent","Upper-Middle Class","2025",5,1,0,1,0,0.980029702186584,NA,1,3,"Conservative","Upper Class","Middle Class","Inflator","Lower-grade service"
"1759",NA,72,NA,NA,"Own","Middle Class","2025",6,0,1,2,0,0.574452638626099,0.5,4,5,NA,"Middle Class",NA,NA,NA
"1760","Conservative",83,"Skilled clerks","Skilled workers","Own","Middle Class","2025",8,0,0,2,NA,0.80232435464859,0.7,5,2,"Conservative","Middle Class","Middle Class","Concordant",NA
"1761","Liberal",19,NA,NA,"Own","Middle Class","2025",6,0,0,2,0,2.09702253341675,0.3,6,2,"Liberal","Middle Class",NA,NA,NA
"1762","Liberal",79,"Technicians","Lower-grade service","Rent","Middle Class","2025",5,1,1,1,0,0.538674652576447,0.3,4,5,"Liberal","Middle Class","Middle Class","Concordant","Lower-grade service"
"1763","Liberal",41,"Higher-grade managers","Higher-grade service","Rent","Middle Class","2025",6,0,1,2,0,0.726798176765442,0.2,1,5,"Liberal","Middle Class","Upper Class","Deflator","Higher-grade service"
"1764","Conservative",68,"Skilled clerks","Skilled workers","Own","Working Class","2025",9,0,0,1,0,1.73161637783051,0.5,11,1,"Conservative","Working Class","Middle Class","Deflator",NA
"1765","Liberal",67,"Lower-grade managers","Lower-grade service","Own","Upper-Middle Class","2025",10,0,0,2,0,1.42187893390656,0.3,4,2,"Liberal","Upper Class","Middle Class","Inflator","Lower-grade service"
"1766","Conservative",77,NA,NA,"Own","Middle Class","2025",10,0,1,1,1,0.563937962055206,0.8,4,5,"Conservative","Middle Class",NA,NA,NA
"1767",NA,29,NA,NA,"Own","Middle Class","2025",6,0,1,1,1,0.831709861755371,NA,5,5,NA,"Middle Class",NA,NA,NA
"1768","Conservative",62,NA,NA,"Own","Middle Class","2025",9,0,0,2,0,1.08122372627258,0.6,4,3,"Conservative","Middle Class",NA,NA,NA
"1769","Bloc",23,NA,NA,"Rent","Middle Class","2025",5,1,0,2,1,1.12149477005005,0.6,6,3,"Bloc","Middle Class",NA,NA,NA
"1770",NA,21,NA,NA,NA,NA,"2025",10,0,0,1,0,1.07239675521851,NA,12,3,NA,NA,NA,NA,NA
"1771","Conservative",36,"Self-employed","Self-employed","Own","Middle Class","2025",10,0,1,NA,0,0.681895196437836,0.8,3,5,"Conservative","Middle Class","Upper Class","Deflator","Self-employed"
"1772","Liberal",70,"Higher-grade managers","Higher-grade service","Own","Working Class","2025",9,0,1,2,1,0.686784327030182,0.3,11,5,"Liberal","Working Class","Upper Class","Deflator","Higher-grade service"
"1773","NDP",21,"Unskilled clerks","Unskilled workers","Rent","Lower Class","2025",6,0,0,1,1,0.831709861755371,0.3,6,4,"NDP","Working Class","Working Class","Concordant",NA
"1774","Liberal",21,"Low-skilled manual","Unskilled workers","Rent","Middle Class","2025",6,0,0,1,1,1.19598281383514,0.6,2,3,"Liberal","Middle Class","Working Class","Inflator",NA
"1775","Liberal",56,NA,NA,"Rent","Upper-Middle Class","2025",6,0,1,2,1,0.68856155872345,0.4,6,5,"Liberal","Upper Class",NA,NA,NA
"1776",NA,44,NA,NA,"Own","Upper-Middle Class","2025",5,1,1,3,0,0.68153178691864,0.4,1,5,NA,"Upper Class",NA,NA,NA
"1777","Liberal",54,"Self-employed","Self-employed","Rent","Lower Class","2025",10,0,0,1,0,0.887823164463043,0.5,3,3,"Liberal","Working Class","Middle Class","Deflator","Self-employed"
"1778","NDP",38,NA,NA,NA,"Working Class","2025",3,0,1,2,1,0.721257865428925,0.6,1,5,"NDP","Working Class",NA,NA,NA
"1779","Conservative",24,NA,NA,"Own","Upper-Middle Class","2025",8,0,0,2,1,0.829868853092194,0.9,1,3,"Conservative","Upper Class",NA,NA,NA
"1780","Liberal",69,NA,NA,"Rent","Upper-Middle Class","2025",5,1,1,1,0,0.538674652576447,0,11,5,"Liberal","Upper Class",NA,NA,NA
"1781",NA,38,"Skilled service","Skilled workers","Rent","Working Class","2025",6,0,0,2,1,2.00628042221069,NA,1,2,NA,"Working Class","Middle Class","Deflator",NA
"1782",NA,73,"Socio-cultural (semi-professionals)","Lower-grade service","Own","Middle Class","2025",10,0,1,3,1,0.563937962055206,0.5,4,5,NA,"Middle Class","Middle Class","Concordant","Lower-grade service"
"1783",NA,55,NA,NA,"Own","Middle Class","2025",4,0,1,3,0,0.613994002342224,0.6,1,5,NA,"Middle Class",NA,NA,NA
"1784","Conservative",72,NA,NA,"Rent","Middle Class","2025",5,1,1,1,1,0.563637375831604,0.8,11,5,"Conservative","Middle Class",NA,NA,NA
"1785","Liberal",25,NA,NA,"Own","Middle Class","2025",5,1,0,3,1,1.12149477005005,0.2,1,3,"Liberal","Middle Class",NA,NA,NA
"1786","Liberal",47,"Self-employed","Self-employed","Own",NA,"2025",6,0,0,1,0,1.91742491722107,NA,3,2,"Liberal",NA,"Working Class",NA,"Self-employed"
"1787","Liberal",46,"Socio-cultural professionals","Higher-grade service","Own","Middle Class","2025",3,0,1,2,0,0.689314305782318,NA,1,5,"Liberal","Middle Class","Upper Class","Deflator","Higher-grade service"
"1788","NDP",54,"Socio-cultural professionals","Higher-grade service","Own","Upper-Middle Class","2025",9,0,1,3,1,0.786748051643372,0.3,1,5,"NDP","Upper Class","Upper Class","Concordant","Higher-grade service"
"1789",NA,64,"Higher-grade managers","Higher-grade service","Rent",NA,"2025",6,0,0,1,1,0.990138351917267,0.5,4,3,NA,NA,"Upper Class",NA,"Higher-grade service"
"1790","Liberal",81,"Low-skilled manual","Unskilled workers","Own","Middle Class","2025",6,0,0,1,0,3.36690640449524,0.4,4,2,"Liberal","Middle Class","Working Class","Inflator",NA
"1791","Conservative",54,NA,NA,"Own","Middle Class","2025",6,0,0,2,0,0.94628643989563,0.5,8,3,"Conservative","Middle Class",NA,NA,NA
"1792","Conservative",38,"Self-employed","Self-employed","Own","Upper-Middle Class","2025",6,0,1,2,1,0.760478734970093,0.8,3,5,"Conservative","Upper Class","Upper Class","Concordant","Self-employed"
"1793","NDP",64,"Self-employed","Self-employed","Own","Working Class","2025",5,1,0,1,1,1.70341169834137,0.3,3,2,"NDP","Working Class","Working Class","Concordant","Self-employed"
"1794","Liberal",42,"Technical experts","Higher-grade service","Own","Upper-Middle Class","2025",6,0,1,2,0,0.726798176765442,0.4,1,5,"Liberal","Upper Class","Upper Class","Concordant","Higher-grade service"
"1795","Liberal",37,"Unskilled clerks","Unskilled workers","Rent","Working Class","2025",10,0,0,1,1,1.02599215507507,0.7,1,3,"Liberal","Working Class","Working Class","Concordant",NA
"1796","Liberal",33,"Skilled clerks","Skilled workers","Own","Working Class","2025",6,0,1,NA,0,0.794874489307404,0.5,1,5,"Liberal","Working Class","Middle Class","Deflator",NA
"1797",NA,40,NA,NA,"Own","Middle Class","2025",10,0,1,2,1,0.713494956493378,0.8,1,5,NA,"Middle Class",NA,NA,NA
"1798","Conservative",58,NA,NA,"Own","Middle Class","2025",7,0,0,1,0,1.61278116703033,NA,4,2,"Conservative","Middle Class",NA,NA,NA
"1799","Conservative",31,"Higher-grade managers","Higher-grade service","Own","Working Class","2025",7,0,0,2,0,1.06182527542114,0.8,7,3,"Conservative","Working Class","Upper Class","Deflator","Higher-grade service"
"1800","Bloc",62,NA,NA,"Own","Middle Class","2025",5,1,1,1,1,0.645676612854004,0.3,4,5,"Bloc","Middle Class",NA,NA,NA
"1801","Bloc",22,NA,NA,NA,"Middle Class","2025",5,1,0,1,1,1.12149477005005,NA,1,3,"Bloc","Middle Class",NA,NA,NA
"1802","Liberal",24,NA,NA,"Rent","Middle Class","2025",5,1,1,2,1,0.779909372329712,NA,1,5,"Liberal","Middle Class",NA,NA,NA
"1803","Conservative",58,NA,NA,"Own","Middle Class","2025",6,0,0,2,1,0.990138351917267,0.5,4,3,"Conservative","Middle Class",NA,NA,NA
"1804","Conservative",39,NA,NA,"Own","Middle Class","2025",10,0,0,3,1,0.713494956493378,0.8,1,4,"Conservative","Middle Class",NA,NA,NA
"1805","Conservative",45,NA,NA,NA,"Middle Class","2025",6,0,1,1,0,0.726798176765442,0.7,1,5,"Conservative","Middle Class",NA,NA,NA
"1806",NA,33,NA,NA,"Own","Middle Class","2025",9,0,0,1,0,1.30600428581238,0.5,5,3,NA,"Middle Class",NA,NA,NA
"1807","Conservative",60,NA,NA,"Own","Middle Class","2025",5,1,0,2,0,1.62796986103058,0.5,4,2,"Conservative","Middle Class",NA,NA,NA
"1808","Conservative",34,NA,NA,"Own","Middle Class","2025",6,0,0,3,0,1.14301443099976,NA,1,3,"Conservative","Middle Class",NA,NA,NA
"1809","NDP",26,"Higher-grade managers","Higher-grade service","Rent","Middle Class","2025",5,1,0,2,1,2.057541847229,0.9,1,2,"NDP","Middle Class","Upper Class","Deflator","Higher-grade service"
"1810",NA,56,NA,NA,"Own","Middle Class","2025",6,0,1,2,0,0.658066034317017,0.7,10,5,NA,"Middle Class",NA,NA,NA
"1811","NDP",26,NA,NA,NA,NA,"2025",10,0,0,1,0,1.96746480464935,0.2,5,1,"NDP",NA,NA,NA,NA
"1812","Liberal",53,"Self-employed","Self-employed","Own","Working Class","2025",6,0,1,1,0,0.658066034317017,0,3,5,"Liberal","Working Class","Upper Class","Deflator","Self-employed"
"1813",NA,21,NA,NA,"Own","Middle Class","2025",10,0,1,2,0,0.745765686035156,0.4,6,5,NA,"Middle Class",NA,NA,NA
"1814","Conservative",62,"Higher-grade managers","Higher-grade service",NA,"Middle Class","2025",6,0,0,3,0,0.94628643989563,0.7,2,3,"Conservative","Middle Class","Upper Class","Deflator","Higher-grade service"
"1815","Liberal",31,NA,NA,"Rent","Lower Class","2025",6,0,0,1,0,2.09702253341675,0.6,8,1,"Liberal","Working Class",NA,NA,NA
"1816","Liberal",37,"Socio-cultural (semi-professionals)","Lower-grade service","Own","Middle Class","2025",5,1,0,2,1,1.0254453420639,0.5,1,3,"Liberal","Middle Class","Middle Class","Concordant","Lower-grade service"
